P,DD,NCE,LS,NCP,IIM,FID,RWs,SC,UP,NCPDD,RW
"So with the house empty and the doors locked and the mattresses rolled round, those stray airs, advance guards of great armies, blustered in, brushed bare boards, nibbled and fanned, met nothing in bedroom or drawing-room that wholly resisted them but only hangings that flapped, wood that creaked, the bare legs of tables, saucepans and china already furred, tarnished, cracked.What people had shed and left--a pair of shoes, a shooting cap, some faded skirts and coats in wardrobes--those alone kept the human shape and in the emptiness indicated how once they were filled and animated; how once hands were busy with hooks and buttons; how once the looking-glass had held a face; had held a world hollowed out in which a figure turned, a hand flashed, the door opened, in came children rushing and tumbling; and went out again.Now, day after day, light turned, like a flower reflected in water, its sharp image on the wall opposite. Only the shadows of the trees, flourishing in the wind, made obeisance on the wall, and for a moment darkened the pool in which light reflected itself; or birds, flying, made a soft spot flutter slowly across the bedroom floor.","""Well, it's all he has to count on,""",,,she supposed,"It didn't matter, any of it,","Her Aunt Camilla was far worse than she was,",,,,,
"So loveliness reigned and stillness, and together made the shape of loveliness itself, a form from which life had parted; solitary like a pool at evening, far distant, seen from a train window, vanishing so quickly that the pool, pale in the evening, is scarcely robbed of its solitude, though once seen. Loveliness and stillness clasped hands in the bedroom, and among the shrouded jugs and sheeted chairs even the prying of the wind, and the soft nose of the clammy sea airs, rubbing, snuffling, iterating, and reiterating their questions--""Will you fade? Will you perish?""--scarcely disturbed the peace, the indifference, the air of pure integrity, as if the question they asked scarcely needed that they should answer:we remain.","""Pray Heaven he won't fall in love with Prue,""",,,"""I'm in love with you?""","A great man, a great book, fame--who could tell?","Prue was going to be far more beautiful than she was,",,,,,
"Nothing it seemed could break that image, corrupt that innocence, or disturb the swaying mantle of silence which, week after week, in the empty room, wove into itself the falling cries of birds, ships hooting, the drone and hum of the fields, a dog's bark, a man's shout, and folded them round the house in silence. Once only a board sprang on the landing; once in the middle of the night with a roar, with a rupture, as after centuries of quiescence, a rock rends itself from the mountain and hurtles crashing into the valley, one fold of the shawl loosened and swung to and fro. Then again peace descended; and the shadow wavered; light bent to its own image in adoration on the bedroom wall; and Mrs. McNab, tearing the veil of silence with hands that had stood in the wash-tub, grinding it with boots that had crunched the shingle, came as directed to open all windows, and dust the bedrooms.","""You're teaching your daughters to exaggerate, """,,,"""I'm in love with this all,""",If only he would speak!,"He should be very proud of Andrew if he got a scholarship,",,,,,
"5. As she lurched (for she rolled like a ship at sea) and leered (for her eyes fell on nothing directly, but with a sidelong glance that deprecated the scorn and anger of the world--she was witless, she knew it), as she clutched the banisters and hauled herself upstairs and rolled from room to room, she sang.Rubbing the glass of the long looking-glass and leering sideways at her swinging figure a sound issued from her lips--something that had been gay twenty years before on the stage perhaps, had been hummed and danced to, but now, coming from the toothless, bonneted, care-taking woman, was robbed of meaning, was like the voice of witlessness, humour, persistency itself, trodden down but springing up again, so that as she lurched, dusting, wiping, she seemed to say how it was one long sorrow and trouble, how it was getting up and going to bed again, and bringing things out and putting them away again. It was not easy or snug this world she had known for close on seventy years. Bowed down she was with weariness.How long, she asked, creaking and groaning on her knees under the bed, dusting the boards, how long shall it endure? but hobbled to her feet again, pulled herself up, and again with her sidelong leer which slipped and turned aside even from her own face, and her own sorrows, stood and gaped in the glass, aimlessly smiling, and began again the old amble and hobble, taking up mats, putting down china, looking sideways in the glass, as if, after all, she had her consolations, as if indeed there twined about her dirge some incorrigible hope. Visions of joy there must have been at the wash- tub, say with her children (yet two had been base-born and one had deserted her), at the public-house, drinking; turning over scraps in her drawers. Some cleavage of the dark there must have been, some channel in the depths of obscurity through which light enough issued to twist her face grinning in the glass and make her, turning to her job again, mumble out the old music hall song. The mystic, the visionary, walking the beach on a fine night, stirring a puddle, looking at a stone, asking themselves""What am I,"" ""What is this?""had suddenly an answer vouchsafed them: (they could not say what it was) so that they were warm in the frost and had comfort in the desert. But Mrs. McNab continued to drink and gossip as before.","""Nobody ever held up your Aunt Camilla as a model of virtue that I'm aware of,""",,,"""I'm in love with you?""","There is something I want--something I have come to get,","She would be just as proud of him if he didn't,",,,,,
"As she lurched (for she rolled like a ship at sea) and leered (for her eyes fell on nothing directly, but with a sidelong glance that deprecated the scorn and anger of the world--she was witless, she knew it), as she clutched the banisters and hauled herself upstairs and rolled from room to room, she sang.Rubbing the glass of the long looking-glass and leering sideways at her swinging figure a sound issued from her lips--something that had been gay twenty years before on the stage perhaps, had been hummed and danced to, but now, coming from the toothless, bonneted, care-taking woman, was robbed of meaning, was like the voice of witlessness, humour, persistency itself, trodden down but springing up again, so that as she lurched, dusting, wiping, she seemed to say how it was one long sorrow and trouble, how it was getting up and going to bed again, and bringing things out and putting them away again. It was not easy or snug this world she had known for close on seventy years. Bowed down she was with weariness.How long, she asked, creaking and groaning on her knees under the bed, dusting the boards, how long shall it endure? but hobbled to her feet again, pulled herself up, and again with her sidelong leer which slipped and turned aside even from her own face, and her own sorrows, stood and gaped in the glass, aimlessly smiling, and began again the old amble and hobble, taking up mats, putting down china, looking sideways in the glass, as if, after all, she had her consolations, as if indeed there twined about her dirge some incorrigible hope. Visions of joy there must have been at the wash- tub, say with her children (yet two had been base-born and one had deserted her), at the public-house, drinking; turning over scraps in her drawers. Some cleavage of the dark there must have been, some channel in the depths of obscurity through which light enough issued to twist her face grinning in the glass and make her, turning to her job again, mumble out the old music hall song. The mystic, the visionary, walking the beach on a fine night, stirring a puddle, looking at a stone, asking themselves""What am I,"" ""What is this?""had suddenly an answer vouchsafed them: (they could not say what it was) so that they were warm in the frost and had comfort in the desert. But Mrs. McNab continued to drink and gossip as before.","""She was the most beautiful woman I ever saw,""",,,"""I'm in love with this all,""","""the China rose is all abloom and buzzing with the honey bee,""",Wasn't it late?,,,,,
"6. The Spring without a leaf to toss, bare and bright like a virgin fierce in her chastity, scornful in her purity, was laid out on fields wide- eyed and watchful and entirely careless of what was done or thought by the beholders. [Prue Ramsay, leaning on her father's arm, was given in marriage that May. What, people said,could have been more fitting? And, they added, how beautiful she looked!] As summer neared, as the evenings lengthened, there came to the wakeful, the hopeful, walking the beach, stirring the pool, imaginations of the strangest kind--of flesh turned to atoms which drove before the wind, of stars flashing in their hearts, of cliff, sea, cloud, and sky brought purposely together to assemble outwardly the scattered parts of the vision within.In those mirrors, the minds of men, in those pools of uneasy water, in which clouds for ever turn and shadows form, dreams persisted, and it was impossible to resist the strange intimation which every gull, flower, tree, man and woman, and the white earth itself seemed to declare (but if questioned at once to withdraw) that good triumphs, happiness prevails, order rules; or to resist the extraordinary stimulus to range hither and thither in search of some absolute good, some crystal of intensity, remote from the known pleasures and familiar virtues, something alien to the processes of domestic life, single, hard, bright, like a diamond in the sand, which would render the possessor secure.Moreover, softened and acquiescent, the spring with her bees humming and gnats dancing threw her cloak about her, veiled her eyes, averted her head, and among passing shadows and flights of small rain seemed to have taken upon her a knowledge of the sorrows of mankind. [Prue Ramsay died that summer in some illness connected with childbirth, which was indeed a tragedy, people said, everything, they said, had promised so well.] And now in the heat of summer the wind sent its spies about the house again. Flies wove a web in the sunny rooms; weeds that had grown close to the glass in the night tapped methodically at the window pane. When darkness fell, the stroke of the Lighthouse, which had laid itself with such authority upon the carpet in the darkness, tracing its pattern, came now in the softer light of spring mixed with moonlight gliding gently as if it laid its caress and lingered steathily and looked and came lovingly again. But in the very lull of this loving caress, as the long stroke leant upon the bed, the rock was rent asunder; another fold of the shawl loosened; there it hung, and swayed. Through the short summer nights and the longsummer days, when the empty rooms seemed to murmur with the echoes of the fields and the hum of flies, the long streamer waved gently, swayed aimlessly; while the sun so striped and barred the rooms and filled them with yellow haze that Mrs. McNab, when she broke in and lurched about, dusting, sweeping, looked like a tropical fish oaring its way through sun-lanced waters. But slumber and sleep though it might there came later in the summer ominous sounds like the measured blows of hammers dulled on felt, which, with their repeated shocks still further loosened the shawl and cracked the tea-cups. Now and again some glass tinkled in the cupboard as if a giant voice had shrieked so loud in its agony that tumblers stood inside a cupboard vibrated too. Then again silence fell; and then, night after night, and sometimes in plain mid-day when the roses were bright and light turned on the wall its shape clearly there seemed to drop into this silence, this indifference, this integrity, the thud of something falling. [A shell exploded. Twenty or thirty young men were blown up in France, among them Andrew Ramsay, whose death, mercifully, was instantaneous.] At that season those who had gone down to pace the beach and ask of the sea and sky what message they reported or what vision they affirmed had to consider among the usual tokens of divine bounty--the sunset on the sea, the pallor of dawn, the moon rising, fishing-boats against the moon, and children making mud pies or pelting each other with handfuls of grass, something out of harmony with this jocundity and this serenity. There was the silent apparition of an ashen-coloured ship for instance, come, gone; there was a purplish stain upon the bland surface of the sea as if something had boiled and bled, invisibly, beneath. This intrusion into a scene calculated to stir the most sublime reflections and lead to the most comfortable conclusions stayed their pacing. It was difficult blandly to overlook them; to abolish their significance in the landscape; to continue, as one walked by the sea, to marvel how beauty outside mirrored beauty within. Did Nature supplement what man advanced? Did she complete what he began? With equal complacence she saw his misery, his meanness, and his torture. That dream, of sharing, completing, of finding in solitude on the beach an answer, was then but a reflection in a mirror, and the mirror itself was but the surface glassiness which forms in quiescence when the nobler powers sleep beneath? Impatient, despairing yet loth to go (for beauty offers her lures, has her consolations), to pace the beach was impossible; contemplation was unendurable; the mirror was broken. [Mr. Carmichael brought out a volume of poems that spring, which had an unexpected success. The war, people said, had revived their interest in poetry.]","""Somebody else was that,""",,,"""I'm in love with you?""","Don't interrupt me,",They hadn't come home yet.,,,,,
"The Spring without a leaf to toss, bare and bright like a virgin fierce in her chastity, scornful in her purity, was laid out on fields wide- eyed and watchful and entirely careless of what was done or thought by the beholders.","""Well, then, look tonight,""",,,"""I'm in love with this all,""",don't say anything; just sit there.,"What had he wanted to tell her,",,,,,
"[Prue Ramsay, leaning on her father's arm, was given in marriage that May. What, people said,could have been more fitting? And, they added, how beautiful she looked!]","""Oh, scholarships!""",,,"""I'm in love with you?""","Well, let them improve upon that,","that he was sorry he had said ""Damn you."" But no. He did not like to see her look so sad,",,,,,
"As summer neared, as the evenings lengthened, there came to the wakeful, the hopeful, walking the beach, stirring the pool, imaginations of the strangest kind--of flesh turned to atoms which drove before the wind, of stars flashing in their hearts, of cliff, sea, cloud, and sky brought purposely together to assemble outwardly the scattered parts of the vision within.In those mirrors, the minds of men, in those pools of uneasy water, in which clouds for ever turn and shadows form, dreams persisted, and it was impossible to resist the strange intimation which every gull, flower, tree, man and woman, and the white earth itself seemed to declare (but if questioned at once to withdraw) that good triumphs, happiness prevails, order rules; or to resist the extraordinary stimulus to range hither and thither in search of some absolute good, some crystal of intensity, remote from the known pleasures and familiar virtues, something alien to the processes of domestic life, single, hard, bright, like a diamond in the sand, which would render the possessor secure.Moreover, softened and acquiescent, the spring with her bees humming and gnats dancing threw her cloak about her, veiled her eyes, averted her head, and among passing shadows and flights of small rain seemed to have taken upon her a knowledge of the sorrows of mankind.","""Oh, he has his dissertation to write,""",,,"""I'm in love with this all,""","That's fiddlesticks, that's first-rate,","She had been reading fairy tales to James,",,,,,
"[Prue Ramsay died that summer in some illness connected with childbirth, which was indeed a tragedy, people said, everything, they said, had promised so well.]","""Well, it's all he has to count on,""",,,"Bankes had thought it,","Go on reading. You don't look sad now,","No, they could not share that; they could not say that.",,,,,
"And now in the heat of summer the wind sent its spies about the house again. Flies wove a web in the sunny rooms; weeds that had grown close to the glass in the night tapped methodically at the window pane. When darkness fell, the stroke of the Lighthouse, which had laid itself with such authority upon the carpet in the darkness, tracing its pattern, came now in the softer light of spring mixed with moonlight gliding gently as if it laid its caress and lingered steathily and looked and came lovingly again. But in the very lull of this loving caress, as the long stroke leant upon the bed, the rock was rent asunder; another fold of the shawl loosened; there it hung, and swayed. Through the short summer nights and the longsummer days, when the empty rooms seemed to murmur with the echoes of the fields and the hum of flies, the long streamer waved gently, swayed aimlessly; while the sun so striped and barred the rooms and filled them with yellow haze that Mrs. McNab, when she broke in and lurched about, dusting, sweeping, looked like a tropical fish oaring its way through sun-lanced waters.","""Pray Heaven he won't fall in love with Prue,""",,,"Bankes had thought it,","What had happened,","He said aloud he thought he would be off for a day's walk if the weather held. He had had about enough of Bankes and of Carmichael. He would like a little solitude. Yes,",,,,,
"But slumber and sleep though it might there came later in the summer ominous sounds like the measured blows of hammers dulled on felt, which, with their repeated shocks still further loosened the shawl and cracked the tea-cups. Now and again some glass tinkled in the cupboard as if a giant voice had shrieked so loud in its agony that tumblers stood inside a cupboard vibrated too. Then again silence fell; and then, night after night, and sometimes in plain mid-day when the roses were bright and light turned on the wall its shape clearly there seemed to drop into this silence, this indifference, this integrity, the thud of something falling.","""You're teaching your daughters to exaggerate, """,,,"Bankes had thought it,",since she had seen him alone?,"it was a perfectly lovely evening. And what was he groaning about, she asked, half laughing, half complaining, for she guessed what he was thinking--he would have written better books if he had not married.",,,,,
"[A shell exploded. Twenty or thirty young men were blown up in France, among them Andrew Ramsay, whose death, mercifully, was instantaneous.]","""Nobody ever held up your Aunt Camilla as a model of virtue that I'm aware of,""",,,"as over her father's,",Which should she tell him about?,"He was not complaining,",,,,,
"At that season those who had gone down to pace the beach and ask of the sea and sky what message they reported or what vision they affirmed had to consider among the usual tokens of divine bounty--the sunset on the sea, the pallor of dawn, the moon rising, fishing-boats against the moon, and children making mud pies or pelting each other with handfuls of grass, something out of harmony with this jocundity and this serenity. There was the silent apparition of an ashen-coloured ship for instance, come, gone; there was a purplish stain upon the bland surface of the sea as if something had boiled and bled, invisibly, beneath. This intrusion into a scene calculated to stir the most sublime reflections and lead to the most comfortable conclusions stayed their pacing. It was difficult blandly to overlook them; to abolish their significance in the landscape; to continue, as one walked by the sea, to marvel how beauty outside mirrored beauty within.","""She was the most beautiful woman I ever saw,""",,,"his old friends could not but feel,","Anything, anything,","Ah, but was that not Lily Briscoe strolling along with William Bankes?",,,,,
"Did Nature supplement what man advanced? Did she complete what he began? With equal complacence she saw his misery, his meanness, and his torture. That dream, of sharing, completing, of finding in solitude on the beach an answer, was then but a reflection in a mirror, and the mirror itself was but the surface glassiness which forms in quiescence when the nobler powers sleep beneath? Impatient, despairing yet loth to go (for beauty offers her lures, has her consolations), to pace the beach was impossible; contemplation was unendurable; the mirror was broken.","""Somebody else was that,""",,,"as over her father's,",Anything will do.,"Yes, indeed it was. Did that not mean that they would marry? Yes, it must! What an admirable idea! They must marry!",,,,,
"[Mr. Carmichael brought out a volume of poems that spring, which had an unexpected success. The war, people said, had revived their interest in poetry.]","""Well, then, look tonight,""",,,"his old friends could not but feel,","why is it then that one wants people to marry? What was the value, the meaning of things? (Every word they said now would be true.)Do say something,","His beauty was so great,",,,,,
"7. Night after night, summer and winter, the torment of storms, the arrow- like stillness of fine (had there been any one to listen) from the upper rooms of the empty house only gigantic chaos streaked with lightning could have been heard tumbling and tossing, as the winds and waves disported themselves like the amorphous bulks of leviathans whose brows are pierced by no light of reason, and mounted one on top of another, and lunged and plunged in the darkness or the daylight (for night and day, month and year ran shapelessly together) in idiot games, until it seemed as if the universe were battling and tumbling, in brute confusion and wanton lust aimlessly by itself. In spring the garden urns, casually filled with wind-blown plants, were gay as ever. Violets came and daffodils. But the stillness and the brightness of the day were as strange as the chaos and tumult of night, with the trees standing there, and the flowers standing there, looking before them, looking up, yet beholding nothing, eyeless, and so terrible.","""Oh, scholarships!""",,,"as over her father's,","Say anything,","it was natural in a boy, and he trusted he would find better ways of amusing himself before long.",,,,,
"Night after night, summer and winter, the torment of storms, the arrow- like stillness of fine (had there been any one to listen) from the upper rooms of the empty house only gigantic chaos streaked with lightning could have been heard tumbling and tossing, as the winds and waves disported themselves like the amorphous bulks of leviathans whose brows are pierced by no light of reason, and mounted one on top of another, and lunged and plunged in the darkness or the daylight (for night and day, month and year ran shapelessly together) in idiot games, until it seemed as if the universe were battling and tumbling, in brute confusion and wanton lust aimlessly by itself.","""Poor little place,""",,,"his old friends could not but feel,","If he says it's wrong to be pessimistic probably it is wrong,","had he heard the children's nickname for Charles Tansley,",,,,,
"In spring the garden urns, casually filled with wind-blown plants, were gay as ever. Violets came and daffodils. But the stillness and the brightness of the day were as strange as the chaos and tumult of night, with the trees standing there, and the flowers standing there, looking before them, looking up, yet beholding nothing, eyeless, and so terrible.","""Poor little place,""",,,"Damn you. He said, It must rain. He said, It won't rain;",the marriage will turn out all right.,"The atheist, they called him, the little atheist.",,,,,
"8. Thinking no harm, for the family would not come, never again, some said, and the house would be sold at Michaelmas perhaps, Mrs. McNab stooped and picked a bunch of flowers to take home with her. She laid them on the table while she dusted. She was fond of flowers.It was a pity to let them waste. Suppose the house were sold(she stood arms akimbo in front of the looking-glass)it would want seeing to--it would. There it had stood all these years without a soul in it. The books and things were mouldy, for, what with the war and help being hard to get, the house had not been cleaned as she could have wished. It was beyond one person's strength to get it straight now. She was too old. Her legs pained her. All those books needed to be laid out on the grass in the sun; there was plaster fallen in the hall; the rain-pipe had blocked over the study window and let the water in; the carpet was ruined quite. But people should come themselves; they should have sent somebody down to see. For there were clothes in the cupboards; they had left clothes in all the bedrooms. What was she to do with them? They had the moth in them--Mrs. Ramsay's things. Poor lady! She would never want THEM again.She was dead, they said;years ago, in London.There was the old grey cloak she wore gardening(Mrs. McNab fingered it). She could see her, as she came up the drive with the washing, stooping over her flowers(the garden was a pitiful sight now, all run to riot, and rabbits scuttling at you out of the beds)--she could see her with one of the children by her in that grey cloak. There were boots and shoes; and a brush and comb left on the dressing-table, for all the world as if she expected to come back tomorrow.(She had died very sudden at the end, they said.) And once they had been coming, but had put off coming, what with the war, and travel being so difficult these days; they had never come all these years; just sent her money; but never wrote, never came, and expected to find things as they had left them, ah, dear! Why the dressing-table drawers were full of things (she pulled them open), handkerchiefs, bits of ribbon. Yes, she could see Mrs. Ramsay as she came up the drive with the washing. ""Good-evening, Mrs. McNab,"" she would say. She had a pleasant way with her. The girls all liked her. But, dear, many things had changed since then (she shut the drawer);many families had lost their dearest. So she was dead; and Mr. Andrew killed; and Miss Prue dead too, they said, with her first baby; but everyone had lost some one these years. Prices had gone up shamefully, and didn't come down again neither. She could well remember her in her grey cloak. ""Good-evening, Mrs. McNab,"" she said, and told cook to keep a plate of milk soup for her--quite thought she wanted it, carrying that heavy basket all the way up from town. She could see her now, stooping over her flowers; and faint and flickering, like a yellow beam or the circle at the end of a telescope, a lady in a grey cloak, stooping over her flowers, went wandering over the bedroom wall, up the dressing-table, across the wash-stand, as Mrs. McNab hobbled and ambled, dusting, straightening. And cook's name now? Mildred? Marian?--some name like that. Ah, she had forgotten--she did forget things. Fiery, like all red-haired women. Many a laugh they had had. She was always welcome in the kitchen. She made them laugh, she did. Things were better then than now. She sighed; there was too much work for one woman. She wagged her head this side and that.This had been the nursery. Why, it was all damp in here; the plaster was falling. Whatever did they want to hang a beast's skull there? gone mouldy too. And rats in all the attics. The rain came in. But they never sent; never came. Some of the locks had gone, so the doors banged. She didn't like to be up here at dusk alone neither. It was too much for one woman,too much, too much. She creaked, she moaned. She banged the door. She turned the key in the lock, and left the house alone, shut up, locked.","""Very fine,""",,,Mr. Ramsay squared his shoulders and stood very upright by the urn.,Was there no crumb on his coat? Nothing she could do for him?,"His beauty was so great,",,,,,
"Thinking no harm, for the family would not come, never again, some said, and the house would be sold at Michaelmas perhaps, Mrs. McNab stooped and picked a bunch of flowers to take home with her. She laid them on the table while she dusted. She was fond of flowers.It was a pity to let them waste. Suppose the house were sold(she stood arms akimbo in front of the looking-glass)it would want seeing to--it would. There it had stood all these years without a soul in it. The books and things were mouldy, for, what with the war and help being hard to get, the house had not been cleaned as she could have wished. It was beyond one person's strength to get it straight now. She was too old. Her legs pained her. All those books needed to be laid out on the grass in the sun; there was plaster fallen in the hall; the rain-pipe had blocked over the study window and let the water in; the carpet was ruined quite. But people should come themselves; they should have sent somebody down to see. For there were clothes in the cupboards; they had left clothes in all the bedrooms. What was she to do with them? They had the moth in them--Mrs. Ramsay's things. Poor lady! She would never want THEM again.She was dead, they said;years ago, in London.There was the old grey cloak she wore gardening(Mrs. McNab fingered it). She could see her, as she came up the drive with the washing, stooping over her flowers(the garden was a pitiful sight now, all run to riot, and rabbits scuttling at you out of the beds)--she could see her with one of the children by her in that grey cloak. There were boots and shoes; and a brush and comb left on the dressing-table, for all the world as if she expected to come back tomorrow.(She had died very sudden at the end, they said.) And once they had been coming, but had put off coming, what with the war, and travel being so difficult these days; they had never come all these years; just sent her money; but never wrote, never came, and expected to find things as they had left them, ah, dear! Why the dressing-table drawers were full of things (she pulled them open), handkerchiefs, bits of ribbon. Yes, she could see Mrs. Ramsay as she came up the drive with the washing.","""Very fine,""",,,"Damn you. He said, It must rain. He said, It won't rain;",You are more beautiful than ever.,"it was natural in a boy, and he trusted he would find better ways of amusing himself before long.",,,,,
"""Good-evening, Mrs. McNab,"" she would say.","""Fatal,""",,,"Damn you. He said, It must rain. He said, It won't rain;",Will you not tell me just for once that you love me?,"had he heard the children's nickname for Charles Tansley,",,,,,
"She had a pleasant way with her. The girls all liked her. But, dear, many things had changed since then (she shut the drawer);many families had lost their dearest. So she was dead; and Mr. Andrew killed; and Miss Prue dead too, they said, with her first baby; but everyone had lost some one these years. Prices had gone up shamefully, and didn't come down again neither. She could well remember her in her grey cloak.","""We shall be cut off!""",,,"Damn you. He said, It must rain. He said, It won't rain;",Nothing on earth can equal this happiness,"The atheist, they called him, the little atheist.",,,,,
"""Good-evening, Mrs. McNab,"" she said, and told cook to keep a plate of milk soup for her--quite thought she wanted it, carrying that heavy basket all the way up from town. She could see her now, stooping over her flowers; and faint and flickering, like a yellow beam or the circle at the end of a telescope, a lady in a grey cloak, stooping over her flowers, went wandering over the bedroom wall, up the dressing-table, across the wash-stand, as Mrs. McNab hobbled and ambled, dusting, straightening.","""Fatal,""",,,Mr. Ramsay squared his shoulders and stood very upright by the urn.,"Had there been an axe handy, a poker, or any weapon that would have gashed a hole in his father's breast and killed him, there and then, James would have seized it.","She supposed it was all right leaving him to his own devices,",,,,,
"And cook's name now? Mildred? Marian?--some name like that. Ah, she had forgotten--she did forget things. Fiery, like all red-haired women. Many a laugh they had had. She was always welcome in the kitchen. She made them laugh, she did. Things were better then than now.","""Fatal,""",,,Mr. Ramsay squared his shoulders and stood very upright by the urn.,"If she finished it tonight, if they did go to the Lighthouse after all, it was to be given to the Lighthouse keeper for his little boy, who was threatened with a tuberculous hip; together with a pile of old magazines, and some tobacco, indeed, whatever she could find lying about, not really wanted, but only littering the room, to give those poor fellows, who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden, something to amuse them.","She knew all about THAT,",,,,,
"She sighed; there was too much work for one woman. She wagged her head this side and that.This had been the nursery. Why, it was all damp in here; the plaster was falling. Whatever did they want to hang a beast's skull there? gone mouldy too. And rats in all the attics. The rain came in. But they never sent; never came. Some of the locks had gone, so the doors banged. She didn't like to be up here at dusk alone neither. It was too much for one woman,too much, too much. She creaked, she moaned. She banged the door. She turned the key in the lock, and left the house alone, shut up, locked.","""We shall be cut off!""",,,George Manning; Mr. Wallace;,"And, with her basket and her parasol, there she was again, ten minutes later, giving out a sense of being ready, of being equipped for a jaunt, which, however, she must interrupt for a moment, as they passed the tennis lawn, to ask Mr. Carmichael, who was basking with his yellow cat's eyes ajar, so that like a cat's they seemed to reflect the branches moving or the clouds passing, but to give no inkling of any inner thoughts or emotion whatsoever, if he wanted anything.","He'd disinherit her if she married him,",,,,,
