DD,LS,IIM,FID,RWs,SC,UP,NCE,NCP,RW
"""James will have to write <NCE>HIS</NCE> dissertation one of these days,""","But alas, divine goodness, twitching the cord, draws the curtain; it does not please him; he covers his treasures in a drench of hail, and so breaks them, so confuses them that it seems impossible that their calm should ever return or that we should ever compose from their fragments a perfect whole or read in the littered pieces the clear words of truth.","The words seemed to be dropped into a well, where, if the waters were clear, they were also so extraordinarily distorting that, even as they descended, one saw them twisting about to make Heaven knows what pattern on the floor of the child's mind. What message would Cam give the cook?",was that what one said? The colours weren't solid? Was that what one said?,,,,,"[Mr. Ramsay, stumbling along a passage one dark morning, stretched his arms out, but Mrs. Ramsay having died rather suddenly the night before, his arms, though stretched out, remained empty.]","she heard him say,"
"""Damn you,""","Also the sea tosses itself and breaks itself, and should any sleeper fancying that he might find on the beach an answer to his doubts, a sharer of his solitude, throw off his bedclothes and go down by himself to walk on the sand, no image with semblance of serving and divine promptitude comes readily to hand bringing the night to order and making the world reflect the compass of the soul.","Minta Doyle and Paul Rayley had not come back then. That could only mean, Mrs. Ramsay thought, one thing. She must accept him, or she must refuse him. This going off after luncheon for a walk, even though Andrew was with them--what could it mean? except that she had decided, rightly, Mrs. Ramsay thought (and she was very, very fond of Minta), to accept that good fellow, who might not be brilliant, but then, thought Mrs. Ramsay, realising that James was tugging at her, to make her go on reading aloud the Fisherman and his Wife, she did in her own heart infinitely prefer boobies to clever men who wrote dissertations; Charles Tansley, for instance. Anyhow it must have happened, one way or the other, by now.","<NCPDD>Odious little man,</NCPDD>",,,,,"bedroom,",she heard him say
"<RW>""Someone had blundered,""</RW>","What people had shed and left--a pair of shoes, a shooting cap, some faded skirts and coats in wardrobes--those alone kept the human shape and in the emptiness indicated how once they were filled and animated; how once hands were busy with hooks and buttons; how once the looking-glass had held a <NCP>face;</NCP> had held a world hollowed out in which a figure turned, a hand flashed, the door opened, in came children rushing and <NCP>tumbling;</NCP> and went out again.","But how could Minta say now that she would not have him? Not if she agreed to spend whole afternoons trapesing about the country alone--for Andrew would be off after his crabs--but possibly Nancy was with them. She tried to recall the sight of them standing at the hall door after lunch. There they stood, looking at the sky, wondering about the weather, and she had said, thinking partly to cover their shyness, partly to encourage them to be off (for her sympathies were with Paul), ""There isn't a cloud anywhere within miles,"" at which she could feel little Charles Tansley, who had followed them out, snigger. But she did it on purpose. Whether Nancy was there or not, she could not be certain, looking from one to the other in her mind's eye.",<NCPDD>why go on saying that?</NCPDD>,,,,,"--<IIM>""Will you fade? Will you perish?""</IIM>--",they hoped
"<RW>""Someone had blundered""</RW>","Rubbing the glass of the long looking-glass and leering sideways at her swinging figure a sound issued from her lips--something that had been gay twenty years before on the stage perhaps, had been hummed and danced to, but now, coming from the toothless, bonneted, care-taking woman, was robbed of meaning, was like the voice of witlessness, humour, persistency itself, trodden down but springing up again, so that as she lurched, dusting, wiping, she seemed to say how it was one long sorrow and trouble, how it was getting up and going to bed again, and bringing things out and putting them away again.","And where were they now? Mrs. Ramsay wondered, reading and thinking, quite easily, both at the same time; for the story of the Fisherman and his Wife was like the bass gently accompanying a tune, which now and then ran up unexpectedly into the melody. And when should she be told? If nothing happened, she would have to speak seriously to Minta. For she could not go trapesing about all over the country, even if Nancy were with them (she tried again, unsuccessfully, to visualize their backs going down the path, and to count them). She was responsible to Minta's parents--the Owl and the Poker. Her nicknames for them shot into her mind as she read. The Owl and the Poker--yes, they would be annoyed if they heard--and they were certain to hear--that Minta, staying with the Ramsays, had been seen etcetera, etcetera, etcetera. ""He wore a wig in the House of Commons and she ably assisted him at the head of the stairs,"" she repeated, fishing them up out of her mind by a phrase which, coming back from some party, she had made to amuse her husband. Dear, dear, Mrs. Ramsay said to herself, how did they produce this incongruous daughter? this tomboy Minta, with a hole in her stocking? How did she exist in that portentous atmosphere where the maid was always removing in a dust-pan the sand that the parrot had scattered, and conversation was almost entirely reduced to the exploits--interesting perhaps, but limited after all--of that bird? Naturally, one had asked her to lunch, tea, dinner, finally to stay with them up at Finlay, which had resulted in some friction with the Owl, her mother, and more calling, and more conversation, and more sand, and really at the end of it, she had told enough lies about parrots to last her a lifetime (so she had said to her husband that night, coming back from the party). However, Minta came...Yes, she came, Mrs. Ramsay thought, suspecting some thorn in the tangle of this thought; and disengaging it found it to be this: a woman had once accused her of ""robbing her of her daughter's affections""; something Mrs. Doyle had said made her remember that charge again. Wishing to dominate, wishing to interfere, making people do what she wished--that was the charge against her, and she thought it most unjust. How could she help being ""like that"" to look at? No one could accuse her of taking pains to impress. She was often ashamed of her own shabbiness. Nor was she domineering, nor was she tyrannical. It was more true about hospitals and drains and the dairy. About things like that she did feel passionately, and would, if she had the chance, have liked to take people by the scruff of their necks and make them see. No hospital on the whole island. It was a disgrace. Milk delivered at your door in London positively brown with dirt. It should be made illegal. A model dairy and a hospital up here--those two things she would have liked to do, herself. But how? With all these children? When they were older, then perhaps she would have time; when they were all at school.",he said it would rain; they said it would be a positive tornado.,,,,,<IIM>we remain.</IIM>,They hoped
"""Charles Tansley...""","How long, she asked, creaking and groaning on her knees under the bed, dusting the boards, how long shall it endure? but hobbled to her feet again, pulled herself up, and again with her sidelong leer which slipped and turned aside even from her own face, and her own sorrows, stood and gaped in the glass, aimlessly smiling, and began again the old amble and hobble, taking up mats, putting down china, looking sideways in the glass, as if, after all, she had her consolations, as if indeed there twined about her dirge some incorrigible hope.","Oh, but she never wanted James to grow a day older! or Cam either. These two she would have liked to keep for ever just as they were, demons of wickedness, angels of delight, never to see them grow up into long-legged monsters. Nothing made up up for the loss. When she read just now to James, ""and there were numbers of soldiers with kettledrums and trumpets,"" and his eyes darkened, she thought, why should they grow up and lose all that? He was the most gifted, the most sensitive of her children. But all, she thought, were full of promise. Prue, a perfect angel with the others, and sometimes now, at night especially, she took one's breath away with her beauty. Andrew--even her husband admitted that his gift for mathematics was extraordinary. And Nancy and Roger, they were both wild creatures now, scampering about over the country all day long. As for Rose, her mouth was too big, but she had a wonderful gift with her hands. If they had charades, Rose made the dresses; made everything; liked best arranging tables, flowers, anything. She did not like it that Jasper should shoot birds; but it was only a stage; they all went through stages. Why, she asked, pressing her chin on James's head, should they grow up so fast? Why should they go to school? She would have liked always to have had a baby. She was happiest carrying one in her arms. Then people might say she was tyrannical, domineering, masterful, if they chose; she did not mind. And, touching his hair with her lips, she thought, he will never be so happy again, but stopped herself, remembering how it angered her husband that she should say that. Still, it was true. They were happier now than they would ever be again. A tenpenny tea set made Cam happy for days. She heard them stamping and crowing on the floor above her head the moment they awoke. They came bustling along the passage. Then the door sprang open and in they came, fresh as roses, staring, wide awake, as if this coming into the dining-room after breakfast, which they did every day of their lives, was a positive event to them, and so on, with one thing after another, all day long, until she went up to say good-night to them, and found them netted in their cots like birds among cherries and raspberries, still making up stories about some little bit of rubbish--something they had heard, something they had picked up in the garden. They all had their little treasures... And so she went down and said to her husband, Why must they grow up and lose it all? Never will they be so happy again. And he was angry. Why take such a gloomy view of life? he said. It is not sensible. For it was odd; and she believed it to be true; that with all his gloom and desperation he was happier, more hopeful on the whole, than she was. Less exposed to human worries--perhaps that was it. He had always his work to fall back on. Not that she herself was ""pessimistic,"" as he accused her of being. Only she thought life--and a little strip of time presented itself to her eyes--her fifty years. There it was before her--life. Life, she thought--but she did not finish her thought. She took a look at life, for she had a clear sense of it there, something real, something private, which she shared neither with her children nor with her husband. A sort of transaction went on between them, in which she was on one side, and life was on another, and she was always trying to get the better of it, as it was of her; and sometimes they parleyed (when she sat alone); there were, she remembered, great reconciliation scenes; but for the most part, oddly enough, she must admit that she felt this thing that she called life terrible, hostile, and quick to pounce on you if you gave it a chance. There were eternal problems: suffering; death; the poor. There was always a woman dying of cancer even here. And yet she had said to all these children, You shall go through it all. To eight people she had said relentlessly that (and the bill for the greenhouse would be fifty pounds). For that reason, knowing what was before them--love and ambition and being wretched alone in dreary places--she had often the feeling, Why must they grow up and lose it all? And then she said to herself, brandishing her sword at life, Nonsense. They will be perfectly happy. And here she was, she reflected, feeling life rather sinister again, making Minta marry Paul Rayley; because whatever she might feel about her own transaction, she had had experiences which need not happen to every one (she did not name them to herself); she was driven on, too quickly she knew, almost as if it were an escape for her too, to say that people must marry; people must have children.","She would come, yes.",,,,,landing;,They hoped
"""Going indoors Mr. Carmichael?""","In those mirrors, the minds of men, in those pools of uneasy water, in which clouds for ever turn and shadows form, dreams persisted, and it was impossible to resist the strange intimation which every gull, flower, tree, man and woman, and the white earth itself seemed to declare (but if questioned at once to withdraw) that good triumphs, happiness prevails, order rules; or to resist the extraordinary stimulus to range hither and thither in search of some absolute good, some crystal of intensity, remote from the known pleasures and familiar virtues, something alien to the processes of domestic life, single, hard, bright, like a diamond in the sand, which would render the possessor secure.","Was she wrong in this, she asked herself, reviewing her conduct for the past week or two, and wondering if she had indeed put any pressure upon Minta, who was only twenty-four, to make up her mind. She was uneasy. Had she not laughed about it? Was she not forgetting again how strongly she influenced people? Marriage needed--oh, all sorts of qualities (the bill for the greenhouse would be fifty pounds); one--she need not name it--that was essential; the thing she had with her husband. Had they that?","""But this is what I see; this is what I see,""",,,,,"[Prue Ramsay, leaning on her father's arm, was given in marriage that May. <FID>What,</FID> people said,<FID>could have been more fitting? And,</FID> they added,<FID> how beautiful she looked!</FID>]",
"""I am going to the town. Shall I get you stamps, paper, tobacco?""","Night after night, summer and winter, the torment of storms, the arrow- like stillness of fine (had there been any one to listen) from the upper rooms of the empty house only gigantic chaos streaked with lightning could have been heard tumbling and tossing, as the winds and waves disported themselves like the amorphous bulks of leviathans whose brows are pierced by no light of reason, and mounted one on top of another, and lunged and plunged in the darkness or the daylight (for night and day, month and year ran shapelessly together) in idiot games, until it seemed as if the universe were battling and tumbling, in brute confusion and wanton lust aimlessly by itself.","What it was about she could not think at first. Then she remembered; Paul and Minta and Andrew had not come back. She summoned before her again the little group on the terrace in front of the hall door, standing looking up into the sky. Andrew had his net and basket. That meant he was going to catch crabs and things. That meant he would climb out on to a rock; he would be cut off. Or coming back single file on one of those little paths above the cliff one of them might slip. He would roll and then crash.",Yes. That was it.,,,,,"[Prue Ramsay died that summer in some illness connected with childbirth, which was indeed a tragedy, people said, everything, they said, had promised so well.]",
"""Now, Mrs. Ramsay and I want to have a little talk together,""","Slowly and painfully, with broom and pail, mopping, scouring, Mrs. McNab, Mrs. Bast, stayed the corruption and the rot; rescued from the pool of Time that was fast closing over them now a basin, now a cupboard; fetched up from oblivion all the Waverley novels and a tea-set one morning; in the afternoon restored to sun and air a brass fender and a set of steel fire-irons.","In a moment he would ask her, ""Are we going to the Lighthouse?"" And she would have to say,<DD>""No: not tomorrow; your father says not.""</DD> Happily, Mildred came in to fetch them, and the bustle distracted them. But he kept looking back over his shoulder as Mildred carried him out, and she was certain that he was thinking, we are not going to the Lighthouse tomorrow; and she thought, he will remember that all his life.",No! no! no! she would not!,,,,,"[A shell exploded. Twenty or thirty young men were blown up in France, among them Andrew Ramsay, whose death, mercifully, was instantaneous.]",
"""O Mrs. Ramsay! dear Mrs. Ramsay ... Mrs. Ramsay, of course!""","And now as if the cleaning and the scrubbing and the scything and the mowing had drowned it there rose that half-heard melody, that intermittent music which the ear half catches but lets fall; a bark, a bleat; irregular, intermittent, yet somehow related; the hum of an insect, the tremor of cut grass, disevered yet somehow belonging; the jar of a dorbeetle, the squeak of a wheel, loud, low, but mysteriously related; which the ear strains to bring together and is always on the verge of harmonising, but they are never quite heard, never fully harmonised, and at last, in the evening, one after another the sounds die out, and the harmony falters, and silence falls.","<NCP>No,</NCP> she thought, putting together some of the pictures he had cut out-- a refrigerator, a mowing machine, a gentleman in evening dress-- <NCP>children never forget.</NCP> For this reason, it was so important what one said, and what one did, and it was a relief when they went to bed. For now she need not think about anybody. She could be herself, by herself. And that was what now she often felt the need of--to think; well, not even to think. To be silent; to be alone. All the being and the doing, expansive, glittering, vocal, evaporated; and one shrunk, with a sense of solemnity, to being oneself, a wedge-shaped core of darkness, something invisible to others. Although she continued to knit, and sat upright, it was thus that she felt herself; and this self having shed its attachments was free for the strangest adventures. When life sank down for a moment, the range of experience seemed limitless. And to everybody there was always this sense of unlimited resources, she supposed; one after another, she, Lily, Augustus Carmichael, must feel, our apparitions, the things you know us by, are simply childish. Beneath it is all dark, it is all spreading, it is unfathomably deep; but now and again we rise to the surface and that is what you see us by. Her horizon seemed to her limitless. There were all the places she had not seen; the Indian plains; she felt herself pushing aside the thick leather curtain of a church in Rome. This core of darkness could go anywhere, for no one saw it. They could not stop it, she thought, exulting. There was freedom, there was peace, there was, most welcome of all, a summoning together, a resting on a platform of stability. Not as oneself did one find rest ever, in her experience (she accomplished here something dexterous with her needles) but as a wedge of darkness.<LS> Losing personality, one lost the fret, the hurry, the stir; and there rose to her lips always some exclamation of triumph over life when things came together in this peace, this rest, this eternity; and pausing there she looked out to meet that stroke of the Lighthouse, the long steady stroke, the last of the three, which was her stroke, for watching them in this mood always at this hour one could not help attaching oneself to one thing especially of the things one saw; and this thing, the long steady stroke, was her stroke. Often she found herself sitting and looking, sitting and looking, with her work in her hands until she became the thing she looked at--that light, for example. And it would lift up on it some little phrase or other which had been lying in her mind like that--<RW> ""Children don't forget, children don't forget"" </RW>--which she would repeat and begin adding to it, <NCP>It will end, it will end,</NCP> she said. <NCP>It will come, it will come,<NCP> when suddenly she added, <RW>We are in the hands of the Lord.</RW> </LS>","to have a shot at a bird,",,,,,"[Mr. Carmichael brought out a volume of poems that spring, which had an unexpected success. The war, people said, had revived their interest in poetry.]",
"""The man's heart grew heavy,""",,"But instantly she was annoyed with herself for saying that. Who had said it? Not she; she had been trapped into saying something she did not mean. She looked up over her knitting and met the third stroke and it seemed to her like her own eyes meeting her own eyes, searching as she alone could search into her mind and her heart, purifying out of existence that lie, any lie.<LS> She praised herself in praising the light, without vanity, for<RW>she was</RW>stern,<RW>she was</RW>searching, <RW>she was</RW>beautiful like that light. It was odd, she thought, how if one was alone, one leant to inanimate things; trees, streams, flowers; <RW>felt</RW> they expressed one;<RW>felt</RW>they became one;<RW>felt</RW>they knew one, in a sense were one;<RW>felt</RW>an irrational tenderness thus (she looked at that long steady light) as for oneself. </LS><RW>There</RW><RW>rose,</RW>and she looked and looked with her needles suspended,<RW>there</RW>curled up off the floor of the mind,<RW>rose</RW>from the lake of one's being, a mist, a bride to meet her lover.",<NCE>how SHE was a favourite.</NCE>,,,,,"for the family would not come, never again, some said, and the house would be sold at Michaelmas perhaps,",
"""But the father of eight children has no choice.""",,"What brought her to say that:<RW> ""We are in the hands of the Lord?"" </RW>she wondered. The insincerity slipping in among the truths roused her, annoyed her. She returned to her knitting again. How could any Lord have made this world? she asked. With her mind she had always seized the fact that there is no reason, order, justice: but suffering, death, the poor. There was no treachery too base for the world to commit; she knew that. No happiness lasted; she knew that. She knitted with firm composure, slightly pursing her lips and, without being aware of it, so stiffened and composed the lines of her face in a habit of sternness that when her husband passed, though he was chuckling at the thought that Hume, the philosopher, grown enormously fat, had stuck in a bog, he could not help noting, as he passed, the sternness at the heart of her beauty. It saddened him, and her remoteness pained him, and he felt, as he passed, that he could not protect her, and, when he reached the hedge, he was sad. He could do nothing to help her. He must stand by and watch her. Indeed, the infernal truth was, he made things worse for her. He was irritable--he was touchy. He had lost his temper over the Lighthouse. He looked into the hedge, into its intricacy, its darkness.","</NCPDD>But the number of men who make a definite contribution to anything whatsoever is very small,</NCPDD>",,,,,; there was too much work for one woman.,
"<RW>""A bit of a hypocrite?""</RW>",,"Always, Mrs. Ramsay felt, one helped oneself out of solitude reluctantly by laying hold of some little odd or end, some sound, some sight. She listened, but it was all very still; cricket was over; the children were in their baths; there was only the sound of the sea. She stopped knitting; she held the long reddish-brown stocking dangling in her hands a moment.<LS> She saw the light again. With some irony in her interrogation, for when one woke at all, one's relations changed, she looked at the steady light, the pitiless, the remorseless, which was so much her, yet so little her, which had her at its beck and call (she woke in the night and saw it bent across their bed, stroking the floor), but for all that she thought, watching it with fascination, hypnotised, as if it were stroking with its silver fingers some sealed vessel in her brain whose bursting would flood her with delight, she had known happiness, exquisite happiness, intense happiness, and it silvered the rough waves a little more brightly, as daylight faded, and the blue went out of the sea and it rolled in waves of pure lemon which curved and swelled and broke upon the beach and the ecstasy burst in her eyes and waves of pure delight raced over the floor of her mind and she felt,It is enough! It is enough! </LS>","I respect you (she addressed silently him in person) in every atom; you are not vain; you are entirely impersonal; you are finer than Mr. Ramsay; you are the finest human being that I know; you have neither wife nor child (without any sexual feeling, she longed to cherish that loneliness), you live for science (involuntarily, sections of potatoes rose before her eyes); praise would be an insult to you; generous, pure-hearted, heroic man!",,,,,"would Mrs. McNab see that the house was ready,",
"<RW>""a bit of a hypocrite.""</RW>",,"Ah! She was lovely, lovelier now than ever he thought. But he could not speak to her. He could not interrupt her. He wanted urgently to speak to her now that James was gone and she was alone at last. But he resolved, no; he would not interrupt her. She was aloof from him now in her beauty, in her sadness. He would let her be, and he passed her without a word, though it hurt him that she should look so distant, and he could not reach her, he could do nothing to help her. And again he would have passed her without a word had she not, at that very moment, given him of her own free will what she knew he would never ask, and called to him and taken the green shawl off the picture frame, and gone to him. For he wished, she knew, to protect her.","You have greatness, she continued, but Mr. Ramsay has none of it. He is petty, selfish, vain, egotistical; he is spoilt; he is a tyrant; he wears Mrs. Ramsay to death; but he has what you (she addressed Mr. Bankes) have not; a fiery unworldliness; he knows nothing about trifles; he loves dogs and his children. He has eight. Mr. Bankes has none. Did he not come down in two coats the other night and let Mrs. Ramsay trim his hair into a pudding basin?",,,,,would she get this done; would she get that done;,
"""just there""?",,"Yes,","and if he did that, how could she see, was it too long, was it too short? she asked.",,,,,[Lily Briscoe had her bag carried up to the house late one evening in September. Mr. Carmichael came by the same train.],
"""Cam! I want you a moment!""",,she felt that that particular source of worry had been placed. She had it on the tip of her tongue to say,"""But she's no more aware of her beauty than a child,""",,,,,"as the curtains of dark wrapped themselves over the house, over Mrs. Beckwith, Mr. Carmichael, and Lily Briscoe so that they lay with several folds of blackness on their eyes,",
"""Cam!""",,"Her husband was so sensible, so just.",<NCE>But what had happened?</NCE>,,,,,"since she had been left alone,",
"<NCP> ask Mildred if Andrew, Miss Doyle, and Mr. Rayley have come back? - </NCP>",,"and began considering the dahlias in the big bed, and wondering what about next year's flowers,",<RW><NCE>Someone had blundered.</NCE></RW>,,,,,--What does one send to the Lighthouse?--,
"""No, they haven't, and I've told Ellen to clear away tea.""",,"deciding that he would tell her what he had felt on the terrace. To begin with, it was not reasonable to be so nervous. Andrew could look after himself. Then, he wanted to tell her that when he was walking on the terrace just now--here he became uncomfortable, as if he were breaking into that solitude, that aloofness, that remoteness of hers.","She was trying to get these tiresome stockings finished to send to Sorley's little boy tomorrow, said Mrs. Ramsay.",,,,,the whole horizon seemed swept bare of objects to talk about;,
"""Come in or go out, Cam,""",,"Had she known that he was looking at her, she thought, she would not have let herself sit there, thinking. She disliked anything that reminded her that she had been seen sitting thinking.","There wasn't the slightest possible chance that they could go to the Lighthouse tomorrow, Mr. Ramsay snapped out irascibly.",,,,,his age; his frailty: his desolation;,
"""And that's the end,""",,"And all the poverty, all the suffering had turned to that,",How did he know? she asked. The wind often changed.,,,,,"--<IIM>for after all, what woman could resist him?--",
"""It'll cost fifty pounds,""",,"The lights of the town and of the harbour and of the boats seemed like a phantom net floating there to mark something which had sunk. Well, if he could not share her thoughts, Mr. Ramsay said to himself, he would be off, then, on his own. He wanted to go on thinking, telling himself the story how Hume was stuck in a bog; he wanted to laugh. But first it was nonsense to be anxious about Andrew. When he was Andrew's age he used to walk about the country all day long, with nothing but a biscuit in his pocket and nobody bothered about him, or thought that he had fallen over a cliff.",But what had she said? Simply that it might be fine tomorrow. So it might.,,,,,They are also the most obstinate and perverse of mankind.,
"""Yes; all children go through stages,""",,"It annoyed him that she did not protest. She knew that he would never do it. He was too old now to walk all day long with a biscuit in his pocket. She worried about the boys, but not about him. Years ago, before he had married, he thought, looking across the bay, as they stood between the clumps of red-hot pokers, he had walked all day. He had made a meal off bread and cheese in a public house. He had worked ten hours at a stretch; an old woman just popped her head in now and again and saw to the fire. That was the country he liked best, over there; those sandhills dwindling away into darkness. One could walk all day without meeting a soul. There was not a house scarcely, not a single village for miles on end. One could worry things out alone. There were little sandy beaches where no one had been since the beginning of time. The seals sat up and looked at you. It sometimes seemed to him that in a little house out there, alone--he broke off, sighing. He had no right. The father of eight children--he reminded himself. And he would have been a beast and a cur to wish a single thing altered. Andrew would be a better man than he had been. Prue would be a beauty, her mother said. They would stem the flood a bit. That was a good bit of work on the whole--his eight children. They showed he did not damn the poor little universe entirely, for on an evening like this, he thought, looking at the land dwindling away, the little island seemed pathetically small, half swallowed up in the sea.",he would step over and ask the Coastguards if she liked.,,,,,"--<IIM>about the reality of kitchen tables,",
"""He's not a polished specimen,""",,"All this phrase-making was a game, she thought, for if she had said half what he said, she would have blown her brains out by now.","She was quite ready to take his word for it,",,,,,"she recalled,",
"""Far from it,""",,"His arm was almost like a young man's arm, Mrs. Ramsay thought, thin and hard, and she thought with delight how strong he still was, though he was over sixty, and how untamed and optimistic, and how strange it was that being convinced, as he was, of all sorts of horrors, seemed not to depress him, but to cheer him. Was it not odd, she reflected? Indeed he seemed to her sometimes made differently from other people, born blind, deaf, and dumb, to the ordinary things, but to the extraordinary things, with an eye like an eagle's. His understanding often astonished her. But did he notice the flowers? No. Did he notice the view? No. Did he even notice his own daughter's beauty, or whether there was pudding on his plate or roast beef? He would sit at table with them like a person in a dream. And his habit of talking aloud, or saying poetry aloud, was growing on him, she was afraid; for sometimes it was awkward--",he was a failure,,,,,An extraordinary face!,
"""Oh, he has his dissertation to write,""",,"Best and brightest come away! poor Miss Giddings, when he shouted that at her, almost jumped out of her skin. But then, Mrs. Ramsay, though instantly taking his side against all the silly Giddingses in the world, then, she thought, intimating by a little pressure on his arm that he walked up hill too fast for her, and she must stop for a moment to see whether those were fresh molehills on the bank, then, she thought, stooping down to look, a great mind like his must be different in every way from ours. All the great men she had ever known, she thought, deciding that a rabbit must have got in, were like that, and it was good for young men (though the atmosphere of lecture-rooms was stuffy and depressing to her beyond endurance almost) simply to hear him, simply to look at him. But without shooting rabbits, how was one to keep them down? she wondered. It might be a rabbit; it might be a mole. Some creature anyhow was ruining her Evening Primroses. And looking up, she saw above the thin trees the first pulse of the full-throbbing star, and wanted to make her husband look at it; for the sight gave her such keen pleasure. But she stopped herself. He never looked at things. If he did, all he would say would be, <NCP>Poor little world,</NCP> with one of his sighs.","He was a failure,",,,,,She looks frightened.,
"""Well, it's all he has to count on,""",,"<NCP>But, good heavens,</NCP>","Mr. Ramsay repeated, never taking his eyes from her face, that he was a failure.",,,,,"she thought, sitting upright, and watching Macalister's boy tug the hook out of the gills of another fish,",
"""Pray Heaven he won't fall in love with Prue,""",,<NCP>I must not make a fool of myself.</NCP>,"Charles Tansley thought him the greatest metaphysician of the time, she said.",,,,,"Oh, Mrs. Ramsay!",
"""You're teaching your daughters to exaggerate, """,,"Well then, Nancy had gone with them,","He was a failure, he repeated.",,,,,"That anguish could reduce one to such a pitch of imbecility,",
"""Nobody ever held up your Aunt Camilla as a model of virtue that I'm aware of,""",,"because,","he said, at Last, looking at her with humble gratitude, restored, renewed, that he would take a turn; he would watch the children playing cricket.",,,,,"stop pain, stop!",
"""She was the most beautiful woman I ever saw,""",,"the old rook, the father rook, old Joseph was her name for him, was a bird of a very trying and difficult disposition. He was a disreputable old bird, with half his wing feathers missing. He was like some seedy old gentleman in a top hat she had seen playing the horn in front of a public house.",The children said he had stained his beard yellow with it.,,,,,"purplish and soft,",
"""Somebody else was that,""",,"What was the reason,",Had he money enough to buy tobacco? Did he have to ask her for it? half a crown? eighteenpence?,,,,,"hyacinth or lilies,",
"""Well, then, look tonight,""",,"divining, through her own past, some deep, some buried, some quite speechless feeling that one had for one's mother at Rose's age. Like all feelings felt for oneself, Mrs. Ramsay thought, it made one sad. It was so inadequate, what one could give in return; and what Rose felt was quite out of proportion to anything she actually was. And Rose would grow up; and Rose would suffer, she supposed, with these deep feelings,","Do you want stamps, do you want tobacco? Here's a book you might like",,,,,"here, in the country or in London,",
"""Oh, scholarships!""",,Why did he want to shoot poor old Joseph and Mary?,"If Shakespeare had never existed, he asked, would the world have differed much from what it is today? Does the progress of civilization depend upon great men? Is the lot of the average human being better now than in the time of the Pharaohs? Is the lot of the average human being, however, he asked himself, the criterion by which we judge the measure of civilization? Possibly not. Possibly the greatest good requires the existence of a slave class. The liftman in the Tube is an eternal necessity.",,,,,"STANDARD, NEWS--",
"""Poor little place,""",,But what have I done with my life?,"Then the change must be so upsetting,",,,,,"Mr. Ramsay's boat,",
"""Very fine,""",,"<NCP>It's all come to an end,</NCP>","<RW>>Yes,</RW>",,,,,"They don't feel a thing there,",
"""We shall be cut off!""",,"But this is not a thing,",<RW>It was a thousand pities.</RW>,,,,,Why were they lagging about here?,
"""Yes,""",,"How old she looks, how worn she looks,","<RW>Yes,</RW>",,,,,"And if he does,",
"""I think Nancy did go with them.""",,and how remote.,<RW> it was a thousand pities </RW>that Ramsay could not behave a little more like other people.,,,,,then I shall take a knife and strike him to the heart.,
"""Come in""",,<NCP>Why does she pity him?</NCP>,"It was for that reason, he said, that the young don't read Carlyle. A crusty old grumbler who lost his temper if the porridge was cold, why should he preach to us?",,,,,"But I won't,",
"""Not for the Queen of England,""",,"And it was not true,","For who could be deceived by him? He asked you quite openly to flatter him, to admire him, his little dodges deceived nobody. What she disliked was his narrowness, his blindness, she said, looking after him.",,,,,Come to the Lighthouse. Do this. Fetch me that.,
"""Not for the Empress of Mexico,""",,"it was one of those misjudgments of hers that seemed to be instinctive and to arise from some need of her own rather than of other people's. <NCP>He is not in the least pitiable. He has his work,</NCP>","It was Mrs. Ramsay reading to James,",,,,,while the boat slapped and dawdled there in the hot sun;,
"""Look!""",,"<NCP>Yes, I shall put the tree further in the middle; then I shall avoid that awkward space. That's what I shall do. That's what has been puzzling me.</NCP>","But she had made no attempt at likeness,",,,,,"[The sea without a stain on it,",
"""Choose, dearests, choose,""",,"<NCP>What damned rot they talk,</NCP>",For what reason had she introduced them then?,,,,,The sea stretched like silk across the bay.,
"""There,""",,Why did they dress?,"But the picture was not of them,",,,,,"It was like that then, the island,",
"""there they are again.""",,"Yes, it was pretty well true,","Or, not in his sense. There were other senses too in which one might reverence them. By a shadow here and a light there, for instance. Her tribute took that form if, as she vaguely supposed, a picture must be a tribute. A mother and child might be reduced to a shadow without irreverence. A light here required a shadow there.",,,,,"So we took a little boat,",
"""Don't you think they mind,""",,"They never got anything worth having from one year's end to another. They did nothing but talk, talk, talk, eat, eat, eat. It was the women's fault. Women made civilisation impossible with all their ""charm,"" all their silliness.","The truth was that all his prejudices were on the other side,",,,,,"when she came in from the garden,",
"""having their wings broken?""",,"He was really,","The largest picture in his drawing-room, which painters had praised, and valued at a higher price than he had given for it, was of the cherry trees in blossom on the banks of the Kennet. He had spent his honeymoon on the banks of the Kennet,",,,,,"Look at him now,",
"""They've come back!""",,"in spite of his eyes, but then look at his nose, look at his hands, the most uncharming human being she had ever met. Then why did she mind what he said? <NCP>Women can't write, women can't paint</NCP>--what did that matter coming from him, since clearly it was not true to him but for some reason helpful to him, and that was why he said it? Why did her whole being bow, like corn under a wind, and erect itself again from this abasement only with a great and rather painful effort? She must make it once more. <NCP>There's the sprig on the table-cloth; there's my painting; I must move the tree to the middle; that matters--nothing else.</NCP> Could she not hold fast to that, she asked herself, and not lose her temper, and not argue; and if she wanted revenge take it by laughing at him?","Lily must come and see that picture,",,,,,"He is a sarcastic brute,",
"""William, sit by me,""",,"And it was still going on,","The question being one of the relations of masses, of lights and shadows, which, to be honest, he had never considered before, he would like to have it explained - what then did she wish to make of it?",,,,,"He brings the talk round to himself and his books,",
